Epoch,Discriminator Loss,Generator Loss
1,0.6533968269868637,9.548183814755507
2,0.5723357322858647,6.066669212388141
3,0.5273280736291781,5.001716024907572
4,0.5244424004506852,4.407465842020299
5,0.5577484116157783,4.033832007619951
6,0.5935713520739228,3.6702422137106105
7,0.5932672904870872,3.473552344034293
8,0.623158621003053,3.2717262754283314
9,0.5963931645798896,3.245798222853669
10,0.5914586966059038,3.178103774253811
11,0.6035766983737371,3.1430192580113987
12,0.5635209618402379,3.1800625467273806
13,0.5610022312695426,3.1765111680807814
14,0.5513665556708085,3.2202134211547673
15,0.5173571400144803,3.2357455422835693
16,0.502863524980577,3.2830539628464197
17,0.5174056197616405,3.3245466889015267
18,0.45164403279445003,3.30400029104203
19,0.4774581073849861,3.3445802317000926
20,0.493470761791936,3.3021280364461876
21,0.5191338774415531,3.2798189105316333
22,0.44002069492957424,3.3588620353257284
23,0.4057306230949637,3.429940451801355
24,0.4655102470257719,3.4450493541870464
25,0.3597933744978426,3.535296227175942
26,0.4321194627887702,3.5567411631096286
27,0.39798031870408784,3.4610084735821665
28,0.4017049682526184,3.5052086383969123
29,0.37392679176160265,3.5981431177684238
30,0.37766689291623023,3.7155401072730974
31,0.3128230292100592,3.7047330292740037
32,0.47098061533844365,3.6488729581635977
33,0.2620573374692218,3.6387936023197005
34,0.3747178610563943,3.7433332412370612
35,0.4260476705717987,3.6661600485011667
36,0.2666353439646108,3.8789513144376024
37,0.2871865368132213,3.9245828831169223
38,0.41997078160056844,3.8231729339417404
39,0.2709207447728009,3.9539512998557518
40,0.3500501274247654,3.9670578697031096
