Epoch,Discriminator Loss,Generator Loss
1,0.6365169333294034,11.749840436158356
2,1.0005578549095877,12.364229105137012
3,0.5274780210521486,7.100945918648331
4,0.6272080675871284,8.146337429682413
5,0.6286988666764012,6.935562919687341
6,0.5762988224073693,6.317315313551161
7,0.6492783261670007,5.89703827434116
8,0.6153443223900266,6.650798276618675
9,0.7289076883483816,6.620400269826253
10,0.7041496204005347,6.1754044029447765
11,0.5222284374413667,5.505270021933097
12,0.8336982635988129,6.24176690755067
13,0.6997167984092677,5.694687415052344
14,0.595436342060566,5.241764691140917
15,0.575339712202549,5.408787967982115
16,0.606798756453726,5.444419198566013
17,0.5596985805917669,5.162433924498381
18,0.4837871958260183,4.878871908894292
19,0.6294586128658719,5.165233318452482
20,0.545465972688463,4.978500626705311
21,0.4849367028585187,4.90503234774978
22,0.5041895638461467,4.878435863388909
23,0.46844154513544506,5.114439306435762
24,0.5271312530945849,5.18356485720034
25,0.4354761433270242,5.020120722276193
26,0.5713282286844872,5.158521263687699
27,0.5202578687005572,5.142511533366309
28,0.4813328757882118,5.328043721340321
29,0.44915196189173945,5.404992461204529
30,0.40090222739511067,4.983566288594846
31,0.4712509052069099,5.254782614884554
32,0.44604999516849164,5.263685798203504
33,0.3852110320219287,4.796163391183923
34,0.6521404713944152,5.190017664874041
35,0.2910154779200201,4.717780263335617
36,0.5062286252224887,5.184861977895101
37,0.27079587609127714,4.719164146317376
38,0.5790355809860759,5.380014370988916
39,0.3183638129245352,4.708323028352526
40,0.32524229696503393,5.041747174881123
41,0.4687896144610864,5.07848017083274
42,0.315094442555198,4.743411320227164
43,0.493686317431706,4.9060493216470435
44,0.41196112527891443,4.5030591289202375
45,0.23016444869615413,4.78476157894841
46,0.5495316658031058,5.187890104121632
47,0.4429657191590027,4.996661323088187
48,0.3072930153597284,4.431381653856348
49,0.3205207314480234,4.764424284299214
50,0.3231149339289577,4.914357569482592
51,0.5978755995079323,5.1038788355610984
52,0.21685361558640445,4.185002821463126
53,0.4564792203406493,4.718719670066127
54,0.24131160822731476,4.2565556190632
55,0.24168141489779507,4.407878983903815
56,0.5375593086635625,4.739435774032716
57,0.25376537159361223,4.508877846929762
58,0.6173034735299923,4.732560916079415
59,0.5788487709230847,4.453879166532446
60,0.20212283247598894,4.27864263675831
61,0.3795137772405589,4.774920439278638
62,0.4698136781376821,4.522227307160695
63,0.5559594011693089,4.378804979500948
64,0.3640921182102627,4.386022099742183
65,0.44835203016797703,4.5126718779404955
66,0.26152122393250465,4.453028908482304
67,0.1720570051283748,4.0632653457147105
68,0.6086770776245329,4.603131214777629
69,0.212606906476948,4.201076613532172
70,0.14995454141387232,3.9730648464626737
71,0.7129112597968843,4.466847894471829
72,0.5087224469968566,4.530022978782654
73,0.25561794969770646,4.0720139123775345
74,0.17433062982228067,4.021850422576621
75,0.43023024802958526,4.296806987788942
76,0.6112146712839603,4.605859524673885
77,0.2616106877448382,4.0393971933258905
78,0.1518945615324709,3.9900803212766296
79,0.46435244795348907,4.0482619145402206
80,0.7324969028985059,4.192885966212661
81,0.25684014790587956,4.070931805504693
82,0.6323974756179033,4.005977925327089
83,0.3270900039071286,4.189519888824886
84,0.4047617826748777,3.9561824048006975
85,0.1568126708821014,3.920498106214735
86,0.5833691595881073,3.9673020193974176
87,0.31172799153460395,4.035342631516634
88,0.14217726927664545,3.8867338520509227
89,0.8103908027211825,4.271772775091921
90,0.221198837928198,3.9958731951536954
91,0.49931262737071075,4.137059783494031
92,0.4163283725027685,4.163298737119745
93,0.17374138713434892,3.999437310077526
94,0.4921710772646798,3.956303914388021
95,0.3301548125843207,4.224110923431538
96,0.17584879848140259,4.087828097520052
97,0.16014930964620025,4.044098249188176
98,0.12004592097191899,4.05068999308127
99,0.8175535747022541,4.164576731346272
100,0.3403856906074065,3.911744663008937
